duration,credit_amount,age,checking_status,employment,savings_status,purpose,target
4.0,601.0,23.0,no checking,<1,<100,furniture/equipment,1
21.0,2288.0,23.0,no checking,<1,<100,furniture/equipment,1
21.0,3160.0,41.0,no checking,>=7,no known savings,radio/tv,1
15.0,3343.0,28.0,no checking,1<=X<4,<100,furniture/equipment,1
13.0,882.0,23.0,0<=X<200,<1,<100,radio/tv,1
12.0,3565.0,37.0,no checking,<1,no known savings,education,1
18.0,3650.0,22.0,<0,<1,<100,furniture/equipment,1
18.0,3780.0,35.0,no checking,<1,<100,furniture/equipment,1
6.0,1740.0,30.0,no checking,>=7,<100,radio/tv,1
24.0,1249.0,28.0,no checking,<1,<100,new car,1
33.0,7253.0,35.0,no checking,4<=X<7,<100,used car,1
48.0,15672.0,23.0,0<=X<200,1<=X<4,<100,business,0
15.0,4657.0,30.0,no checking,1<=X<4,<100,used car,1
6.0,660.0,23.0,no checking,4<=X<7,500<=X<1000,repairs,1
6.0,860.0,39.0,<0,>=7,<100,new car,1
40.0,5998.0,27.0,<0,1<=X<4,<100,education,0
36.0,3959.0,30.0,<0,unemployed,<100,furniture/equipment,1
12.0,804.0,38.0,no checking,>=7,<100,radio/tv,1
36.0,3620.0,37.0,<0,1<=X<4,<100,furniture/equipment,1
18.0,1961.0,23.0,>=200,>=7,<100,new car,1
12.0,3124.0,49.0,0<=X<200,<1,<100,new car,1
24.0,1207.0,24.0,<0,<1,<100,new car,0
24.0,4351.0,48.0,0<=X<200,1<=X<4,no known savings,furniture/equipment,1
36.0,2384.0,33.0,0<=X<200,<1,<100,repairs,0
24.0,3488.0,23.0,no checking,4<=X<7,100<=X<500,used car,1
9.0,1337.0,34.0,>=200,<1,<100,radio/tv,0
12.0,1262.0,25.0,no checking,1<=X<4,<100,radio/tv,1
6.0,1198.0,35.0,<0,>=7,<100,education,0
39.0,2569.0,24.0,no checking,1<=X<4,500<=X<1000,used car,1
12.0,1995.0,27.0,0<=X<200,<1,100<=X<500,new car,1
18.0,2779.0,21.0,0<=X<200,1<=X<4,<100,used car,1
48.0,3609.0,27.0,no checking,1<=X<4,<100,business,1
12.0,3590.0,29.0,<0,1<=X<4,<100,furniture/equipment,1
36.0,5711.0,38.0,no checking,>=7,>=1000,used car,1
21.0,5003.0,29.0,no checking,1<=X<4,no known savings,new car,0
12.0,2578.0,55.0,<0,unemployed,<100,furniture/equipment,1
12.0,3399.0,37.0,>=200,>=7,no known savings,radio/tv,1
12.0,2028.0,30.0,0<=X<200,1<=X<4,no known savings,used car,1
30.0,4221.0,28.0,0<=X<200,1<=X<4,<100,business,1
