duration,credit_amount,age,checking_status,employment,savings_status,purpose,target
10.0,781.0,63.0,>=200,>=7,<100,new car,1
12.0,639.0,30.0,0<=X<200,1<=X<4,<100,repairs,0
6.0,1449.0,31.0,0<=X<200,>=7,100<=X<500,business,1
15.0,4657.0,30.0,no checking,1<=X<4,<100,used car,1
36.0,2323.0,24.0,0<=X<200,4<=X<7,<100,radio/tv,1
24.0,3062.0,32.0,no checking,>=7,500<=X<1000,furniture/equipment,1
12.0,2028.0,30.0,0<=X<200,1<=X<4,no known savings,used car,1
15.0,2631.0,25.0,0<=X<200,1<=X<4,100<=X<500,repairs,1
4.0,1494.0,29.0,>=200,<1,no known savings,new car,1
18.0,1098.0,65.0,no checking,unemployed,<100,radio/tv,1
24.0,1207.0,24.0,<0,<1,<100,new car,0
12.0,3059.0,61.0,no checking,4<=X<7,>=1000,radio/tv,1
12.0,2096.0,49.0,no checking,4<=X<7,<100,education,1
15.0,3186.0,20.0,no checking,4<=X<7,>=1000,new car,1
60.0,13756.0,63.0,no checking,>=7,no known savings,new car,1
12.0,958.0,47.0,0<=X<200,4<=X<7,<100,new car,1
18.0,1453.0,26.0,no checking,<1,<100,radio/tv,1
36.0,4473.0,31.0,>=200,>=7,<100,radio/tv,1
24.0,4241.0,36.0,0<=X<200,1<=X<4,<100,business,0
24.0,1358.0,40.0,<0,>=7,no known savings,other,0
36.0,2145.0,24.0,<0,4<=X<7,<100,business,0
48.0,7582.0,31.0,0<=X<200,unemployed,100<=X<500,other,1
12.0,682.0,51.0,no checking,4<=X<7,100<=X<500,new car,1
12.0,776.0,28.0,no checking,1<=X<4,<100,radio/tv,1
12.0,708.0,38.0,<0,1<=X<4,<100,furniture/equipment,1
60.0,6288.0,42.0,0<=X<200,1<=X<4,<100,education,0
12.0,1168.0,27.0,<0,1<=X<4,<100,new car,1
18.0,1800.0,24.0,no checking,1<=X<4,<100,radio/tv,1
6.0,1169.0,67.0,<0,>=7,no known savings,radio/tv,1
6.0,426.0,39.0,no checking,>=7,<100,radio/tv,1
10.0,1048.0,23.0,0<=X<200,1<=X<4,<100,radio/tv,1
36.0,9857.0,31.0,0<=X<200,4<=X<7,100<=X<500,business,1
15.0,1264.0,25.0,0<=X<200,1<=X<4,100<=X<500,new car,0
12.0,1228.0,24.0,<0,1<=X<4,<100,new car,0
